epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.179,0.9144,1.64245,1.25696,0.79449,0.84338,0.87622,0.68606,0.74788,1.05473,1.11317,0.000472931,0.000472931,0.000472931
2,74.9397,0.91195,1.03863,1.20852,0.88477,0.85397,0.89764,0.65904,0.85413,1.06041,1.17759,0.000939867,0.000939867,0.000939867
3,108.154,0.9497,0.98625,1.21927,0.72798,0.73336,0.77717,0.57077,0.95805,1.13382,1.27077,0.00139737,0.00139737,0.00139737
4,140.146,0.96423,0.92965,1.22217,0.81913,0.83234,0.85684,0.62805,0.92851,0.89225,1.22692,0.00138656,0.00138656,0.00138656
5,172.248,0.93801,0.85779,1.19929,0.8439,0.82257,0.90796,0.70952,0.75592,0.74887,1.09722,0.00137241,0.00137241,0.00137241
6,203.834,0.89631,0.76132,1.1851,0.90666,0.90299,0.93286,0.73697,0.73667,0.57655,1.09632,0.00135826,0.00135826,0.00135826
7,236.533,0.87437,0.74303,1.17729,0.86811,0.82775,0.888,0.69593,0.79516,0.75196,1.11471,0.00134412,0.00134412,0.00134412
8,268.163,0.86857,0.71692,1.16697,0.9367,0.90232,0.9257,0.74849,0.72714,0.53538,1.08232,0.00132997,0.00132997,0.00132997
9,299.428,0.8508,0.69266,1.16142,0.88219,0.85722,0.9087,0.72705,0.77076,0.61517,1.12009,0.00131582,0.00131582,0.00131582
10,330.814,0.82133,0.66471,1.14947,0.83849,0.83324,0.90354,0.72093,0.74348,0.63377,1.09484,0.00130168,0.00130168,0.00130168
11,362.174,0.83023,0.65881,1.14972,0.89323,0.85997,0.9157,0.74469,0.71318,0.6107,1.07116,0.00128753,0.00128753,0.00128753
12,393.585,0.82883,0.6447,1.15389,0.92461,0.88202,0.93723,0.75717,0.6893,0.51257,1.06462,0.00127338,0.00127338,0.00127338
13,424.922,0.79917,0.62284,1.14107,0.91802,0.78316,0.89037,0.71329,0.76148,0.69996,1.1293,0.00125923,0.00125923,0.00125923
14,456.628,0.81108,0.61719,1.1439,0.9439,0.91039,0.94714,0.79552,0.62192,0.4595,1.01659,0.00124509,0.00124509,0.00124509
15,488.911,0.81106,0.61539,1.14233,0.92379,0.91901,0.94837,0.78045,0.6647,0.48856,1.035,0.00123094,0.00123094,0.00123094
16,520.543,0.79938,0.60834,1.1366,0.94061,0.89838,0.94877,0.77032,0.66375,0.46428,1.04976,0.00121679,0.00121679,0.00121679
