epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3554,0.78996,1.92613,1.2463,0.70238,0.7207,0.80582,0.63486,0.73016,1.42965,1.03891,0.000413712,0.000413712,0.000413712
2,32.8753,0.78049,1.0866,1.19819,0.85141,0.7885,0.88938,0.66476,0.79459,1.05066,1.06962,0.000822158,0.000822158,0.000822158
3,48.2388,0.7908,0.9512,1.18871,0.89598,0.79589,0.92059,0.68666,0.86333,0.91334,1.16214,0.00122235,0.00122235,0.00122235
4,63.6396,0.77225,0.87248,1.18026,0.9345,0.84543,0.9561,0.73062,0.84026,0.88024,1.12337,0.00121287,0.00121287,0.00121287
5,78.9158,0.7572,0.81798,1.17277,0.89546,0.8336,0.95304,0.74831,0.72484,0.82005,1.03415,0.0012005,0.0012005,0.0012005
6,93.9681,0.74595,0.75349,1.15954,0.9063,0.95965,0.96809,0.75875,0.75192,0.62966,1.01108,0.00118812,0.00118812,0.00118812
7,108.835,0.74649,0.71167,1.16224,0.88725,0.91126,0.9528,0.77975,0.67765,0.61919,0.98218,0.00117575,0.00117575,0.00117575
8,123.917,0.71553,0.68427,1.13312,0.92209,0.96317,0.9684,0.79071,0.68303,0.55268,0.97888,0.00116337,0.00116337,0.00116337
9,138.579,0.70769,0.66265,1.13909,0.87817,0.95252,0.95065,0.76967,0.74699,0.56588,1.02763,0.001151,0.001151,0.001151
10,153.253,0.68662,0.63841,1.13042,0.96112,0.9599,0.97903,0.8118,0.62433,0.47509,0.94631,0.00113863,0.00113863,0.00113863
11,168.808,0.69633,0.62116,1.12918,0.91039,0.91498,0.96237,0.80195,0.63929,0.58706,0.93803,0.00112625,0.00112625,0.00112625
12,183.946,0.69911,0.60914,1.12479,0.92072,0.95579,0.97542,0.78917,0.69498,0.50447,0.99243,0.00111388,0.00111388,0.00111388
13,198.54,0.66119,0.58119,1.11345,0.97947,0.95328,0.98476,0.81005,0.68425,0.46026,0.97591,0.0011015,0.0011015,0.0011015
14,213.18,0.67104,0.57792,1.11857,0.9721,0.9642,0.98459,0.8218,0.63157,0.44094,0.93009,0.00108913,0.00108913,0.00108913
15,227.699,0.67203,0.56565,1.12086,0.98433,0.97738,0.98193,0.82718,0.62962,0.38784,0.92808,0.00107675,0.00107675,0.00107675
16,242.444,0.66134,0.54773,1.11508,0.97672,0.90865,0.97662,0.80722,0.65554,0.47263,0.94823,0.00106437,0.00106437,0.00106437
17,257.14,0.66309,0.54285,1.11344,0.98854,0.97071,0.98917,0.83078,0.64499,0.38182,0.9459,0.001052,0.001052,0.001052
18,272.017,0.65875,0.53828,1.11072,0.97676,0.97127,0.98392,0.84152,0.62146,0.41008,0.91871,0.00103962,0.00103962,0.00103962
19,287.129,0.63145,0.51867,1.09988,0.97704,0.9748,0.98552,0.82972,0.6432,0.40297,0.93752,0.00102725,0.00102725,0.00102725
20,302.192,0.64927,0.51605,1.09927,0.94267,0.95815,0.98317,0.83549,0.61154,0.45567,0.91574,0.00101488,0.00101488,0.00101488
21,317.382,0.64974,0.53102,1.10431,0.95026,0.94711,0.97392,0.81976,0.61286,0.4548,0.91272,0.0010025,0.0010025,0.0010025
22,332.423,0.6378,0.5127,1.1026,0.97228,0.96344,0.98622,0.83499,0.59707,0.40422,0.9175,0.000990125,0.000990125,0.000990125
23,347.018,0.6239,0.50539,1.08981,0.96377,0.97225,0.98502,0.82698,0.6427,0.4328,0.94059,0.00097775,0.00097775,0.00097775
24,361.782,0.62799,0.49692,1.09251,0.97385,0.9815,0.98617,0.85215,0.59602,0.36336,0.8989,0.000965375,0.000965375,0.000965375
25,376.329,0.61651,0.49592,1.08888,0.97212,0.94294,0.98321,0.84898,0.60001,0.4215,0.89027,0.000953,0.000953,0.000953
26,391.027,0.61768,0.48874,1.09705,0.98792,0.98666,0.98965,0.85598,0.56951,0.35302,0.86918,0.000940625,0.000940625,0.000940625
