epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6024,0.8181,1.89364,1.25158,0.75729,0.81919,0.90642,0.68931,0.82928,1.1343,1.10379,0.000413961,0.000413961,0.000413961
2,37.8298,0.8196,1.08514,1.20085,0.88069,0.94373,0.96345,0.73471,0.86473,0.79615,1.15378,0.000822404,0.000822404,0.000822404
3,54.8199,0.815,0.9448,1.19083,0.81756,0.88162,0.93024,0.69605,0.8845,1.00991,1.20967,0.0012226,0.0012226,0.0012226
4,71.9365,0.81086,0.87355,1.19011,0.82308,0.83385,0.89475,0.653,0.98469,1.02914,1.20414,0.00121287,0.00121287,0.00121287
5,88.873,0.76977,0.79848,1.17183,0.83612,0.74897,0.86829,0.67831,0.83988,1.04214,1.09642,0.0012005,0.0012005,0.0012005
6,105.807,0.77134,0.75152,1.16771,0.9328,0.87566,0.95849,0.74172,0.83626,0.68531,1.12018,0.00118812,0.00118812,0.00118812
7,122.405,0.75996,0.71901,1.15954,0.77341,0.85928,0.88704,0.69534,0.77912,0.92048,1.0771,0.00117575,0.00117575,0.00117575
8,138.722,0.72625,0.67406,1.14198,0.9511,0.96025,0.98463,0.80058,0.7331,0.53987,1.02726,0.00116337,0.00116337,0.00116337
9,155.061,0.7202,0.65094,1.13994,0.96959,0.95833,0.98538,0.79203,0.76308,0.50031,1.05495,0.001151,0.001151,0.001151
10,171.469,0.72607,0.63121,1.14333,0.94037,0.94863,0.98112,0.78856,0.74177,0.50295,1.01011,0.00113863,0.00113863,0.00113863
11,187.738,0.70497,0.61115,1.12873,0.95657,0.97125,0.98454,0.81601,0.68944,0.47641,0.99581,0.00112625,0.00112625,0.00112625
12,204.068,0.70495,0.60674,1.13282,0.95556,0.95395,0.98415,0.80723,0.71032,0.45372,1.00809,0.00111388,0.00111388,0.00111388
13,220.378,0.7088,0.59354,1.13125,0.95643,0.97504,0.97826,0.81529,0.69862,0.46187,0.97979,0.0011015,0.0011015,0.0011015
14,236.668,0.69056,0.56176,1.11955,0.96416,0.92966,0.97494,0.8056,0.71735,0.4848,1.00504,0.00108913,0.00108913,0.00108913
15,252.911,0.68,0.5605,1.1133,0.96955,0.97102,0.98204,0.80786,0.73593,0.45314,0.99438,0.00107675,0.00107675,0.00107675
16,269.422,0.68806,0.55605,1.11802,0.9694,0.97383,0.98335,0.80962,0.73321,0.44075,1.00961,0.00106437,0.00106437,0.00106437
17,285.696,0.67021,0.54477,1.10911,0.99202,0.97647,0.9861,0.82484,0.69139,0.40257,0.9751,0.001052,0.001052,0.001052
18,302.477,0.66702,0.53534,1.10961,0.95201,0.94367,0.9855,0.81937,0.71472,0.46041,1.00816,0.00103962,0.00103962,0.00103962
19,319.324,0.65997,0.54045,1.10076,0.95264,0.97656,0.98384,0.83497,0.66431,0.40474,0.96392,0.00102725,0.00102725,0.00102725
20,336.234,0.66416,0.5174,1.1037,0.95514,0.9664,0.97244,0.82022,0.68234,0.44458,0.97861,0.00101488,0.00101488,0.00101488
21,352.66,0.66137,0.52574,1.10577,0.98208,0.97484,0.98615,0.8123,0.68645,0.42122,0.97856,0.0010025,0.0010025,0.0010025
22,368.974,0.63666,0.50137,1.09497,0.97649,0.94237,0.98096,0.83353,0.64734,0.42539,0.94378,0.000990125,0.000990125,0.000990125
23,385.604,0.65437,0.51293,1.10292,0.98911,0.96694,0.98632,0.82889,0.68156,0.3897,0.97833,0.00097775,0.00097775,0.00097775
24,401.912,0.63001,0.49084,1.09533,0.97915,0.94903,0.977,0.82354,0.6911,0.42143,0.97171,0.000965375,0.000965375,0.000965375
25,418.162,0.63765,0.48554,1.09404,0.96626,0.96781,0.98008,0.82157,0.67062,0.42216,0.96251,0.000953,0.000953,0.000953
26,434.574,0.65156,0.49899,1.09702,0.97025,0.97861,0.98649,0.83443,0.66638,0.41056,0.95398,0.000940625,0.000940625,0.000940625
27,450.769,0.62656,0.48407,1.08563,0.97792,0.97838,0.98461,0.84603,0.60886,0.3843,0.907,0.00092825,0.00092825,0.00092825
28,467.112,0.63354,0.46725,1.09362,0.97524,0.96917,0.98377,0.83204,0.65997,0.39239,0.95918,0.000915875,0.000915875,0.000915875
29,483.246,0.62072,0.46379,1.0862,0.98473,0.9788,0.98717,0.84005,0.65886,0.39848,0.9455,0.0009035,0.0009035,0.0009035
30,499.577,0.61573,0.47353,1.07962,0.97522,0.96784,0.98123,0.83259,0.63142,0.39582,0.92931,0.000891125,0.000891125,0.000891125
31,515.859,0.62196,0.47573,1.08218,0.98086,0.97457,0.98699,0.84106,0.63794,0.3783,0.9364,0.00087875,0.00087875,0.00087875
32,532.253,0.63083,0.45511,1.08243,0.97663,0.98156,0.9872,0.84681,0.63666,0.35751,0.92554,0.000866375,0.000866375,0.000866375
33,548.953,0.62959,0.45573,1.08348,0.97873,0.9755,0.98686,0.83959,0.64339,0.36935,0.93558,0.000854,0.000854,0.000854
34,565.848,0.60473,0.45479,1.08014,0.9672,0.97244,0.98569,0.83397,0.6582,0.38535,0.93714,0.000841625,0.000841625,0.000841625
35,582.662,0.61116,0.44275,1.07683,0.98996,0.98196,0.98925,0.83985,0.65227,0.36224,0.92951,0.00082925,0.00082925,0.00082925
36,599.029,0.60478,0.43389,1.07457,0.97558,0.96564,0.9832,0.84261,0.62374,0.39195,0.91733,0.000816875,0.000816875,0.000816875
37,615.33,0.60069,0.43765,1.07927,0.95688,0.96999,0.9798,0.84911,0.61874,0.38387,0.91559,0.0008045,0.0008045,0.0008045
38,631.824,0.60478,0.44029,1.07578,0.97906,0.97954,0.98665,0.85461,0.5875,0.3524,0.89668,0.000792125,0.000792125,0.000792125
39,648.199,0.59424,0.42747,1.06527,0.98,0.96993,0.98653,0.84704,0.61855,0.37227,0.91635,0.00077975,0.00077975,0.00077975
40,664.485,0.58946,0.42726,1.06845,0.96346,0.97717,0.98429,0.85698,0.60008,0.37034,0.90136,0.000767375,0.000767375,0.000767375
41,680.79,0.60119,0.43701,1.07084,0.98186,0.97244,0.98319,0.8571,0.62391,0.36495,0.92781,0.000755,0.000755,0.000755
42,697.175,0.58962,0.42123,1.0758,0.98085,0.9763,0.98691,0.85572,0.6068,0.36314,0.90928,0.000742625,0.000742625,0.000742625
43,713.602,0.59022,0.42912,1.07272,0.9832,0.98015,0.98301,0.85781,0.60644,0.34983,0.90812,0.00073025,0.00073025,0.00073025
44,729.852,0.57802,0.41852,1.06518,0.97765,0.97934,0.9841,0.85211,0.61456,0.35181,0.91171,0.000717875,0.000717875,0.000717875
45,746.142,0.58986,0.42512,1.06754,0.97531,0.97244,0.98289,0.85617,0.61681,0.36787,0.89965,0.0007055,0.0007055,0.0007055
46,762.366,0.57521,0.40981,1.06518,0.96209,0.98273,0.98263,0.85899,0.61428,0.37022,0.91364,0.000693125,0.000693125,0.000693125
47,779.048,0.58521,0.40908,1.06677,0.96861,0.97702,0.98389,0.85604,0.61155,0.36421,0.92038,0.00068075,0.00068075,0.00068075
48,795.762,0.56721,0.40245,1.05998,0.98394,0.98378,0.98698,0.8635,0.60081,0.33705,0.88853,0.000668375,0.000668375,0.000668375
49,812.778,0.57061,0.39507,1.06071,0.99222,0.97984,0.98713,0.86136,0.59073,0.33576,0.89924,0.000656,0.000656,0.000656
50,829.445,0.56365,0.39875,1.05377,0.98688,0.96935,0.98833,0.86388,0.60172,0.35395,0.89519,0.000643625,0.000643625,0.000643625
