epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1595.66,0.72474,0.52379,1.20034,0.92814,0.88201,0.93328,0.79462,0.66049,0.47813,1.21806,0.000848969,0.000848969,0.000848969
43,1632.36,0.72372,0.53487,1.20573,0.89391,0.91054,0.92483,0.79718,0.65232,0.49305,1.20036,0.000834822,0.000834822,0.000834822
44,1668.13,0.71384,0.53541,1.19727,0.91541,0.89293,0.92667,0.79684,0.63861,0.48864,1.18955,0.000820675,0.000820675,0.000820675
45,1708.08,0.72034,0.53064,1.19593,0.8979,0.91095,0.92977,0.79387,0.64909,0.48278,1.19856,0.000806528,0.000806528,0.000806528
46,1745.14,0.71235,0.52263,1.19804,0.90588,0.89542,0.92905,0.79648,0.64834,0.47821,1.20007,0.00079238,0.00079238,0.00079238
47,1781.87,0.72587,0.52659,1.20448,0.92329,0.88265,0.92545,0.79124,0.63488,0.48213,1.20055,0.000778233,0.000778233,0.000778233
48,1818.99,0.71573,0.51571,1.20122,0.92352,0.88822,0.93585,0.79159,0.63381,0.4825,1.19466,0.000764086,0.000764086,0.000764086
49,1857.22,0.71023,0.52358,1.19597,0.92207,0.87556,0.9263,0.79184,0.63305,0.49025,1.19088,0.000749939,0.000749939,0.000749939
50,1895.07,0.70558,0.51666,1.18838,0.92296,0.89982,0.93669,0.80312,0.62105,0.43782,1.18263,0.000735792,0.000735792,0.000735792
51,1931.51,0.69128,0.49265,1.18625,0.91881,0.91014,0.93688,0.81189,0.6102,0.43743,1.17356,0.000721645,0.000721645,0.000721645
52,1968.91,0.68412,0.49078,1.17476,0.90244,0.89563,0.93409,0.79779,0.64375,0.49833,1.19644,0.000707498,0.000707498,0.000707498
53,2005.68,0.69953,0.49515,1.19001,0.93727,0.89085,0.93246,0.80273,0.6324,0.47007,1.18698,0.000693351,0.000693351,0.000693351
54,2042.3,0.70013,0.49686,1.18502,0.92855,0.88934,0.92871,0.80486,0.6244,0.45365,1.1843,0.000679204,0.000679204,0.000679204
55,2079.51,0.69283,0.49533,1.18164,0.91523,0.90194,0.93566,0.80473,0.62806,0.47046,1.18386,0.000665057,0.000665057,0.000665057
56,2115.38,0.69353,0.49696,1.18219,0.92214,0.88672,0.92648,0.79923,0.60783,0.46094,1.16919,0.000650909,0.000650909,0.000650909
