epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1463.82,0.73501,0.53584,1.10638,0.89902,0.91888,0.93584,0.79732,0.6477,0.45646,1.02404,0.000848969,0.000848969,0.000848969
43,1496.51,0.73963,0.53668,1.10887,0.9027,0.89402,0.9243,0.79551,0.6108,0.45461,0.99848,0.000834822,0.000834822,0.000834822
44,1531.89,0.72543,0.53295,1.09834,0.89864,0.90762,0.92761,0.79682,0.6467,0.46653,1.01832,0.000820675,0.000820675,0.000820675
45,1565.53,0.72337,0.53022,1.09478,0.94253,0.88354,0.93827,0.80364,0.609,0.42531,0.98824,0.000806528,0.000806528,0.000806528
46,1599.97,0.71848,0.52296,1.09413,0.92941,0.90774,0.93919,0.80524,0.62171,0.42932,0.99999,0.00079238,0.00079238,0.00079238
47,1635.31,0.73514,0.53127,1.10636,0.92136,0.91043,0.93986,0.80813,0.61523,0.4618,1.00101,0.000778233,0.000778233,0.000778233
48,1669.28,0.71208,0.51438,1.09323,0.89893,0.91358,0.93335,0.80159,0.61129,0.48821,1.00729,0.000764086,0.000764086,0.000764086
49,1704.45,0.70653,0.51917,1.09323,0.9093,0.90229,0.92914,0.79824,0.6227,0.46871,1.01343,0.000749939,0.000749939,0.000749939
50,1737.46,0.72483,0.52535,1.09766,0.90862,0.91944,0.94196,0.80523,0.62801,0.41934,1.00038,0.000735792,0.000735792,0.000735792
51,1770.44,0.70337,0.49778,1.08965,0.91239,0.90893,0.93694,0.80436,0.62043,0.43301,0.99688,0.000721645,0.000721645,0.000721645
52,1804.22,0.69605,0.50152,1.08502,0.94271,0.8724,0.93735,0.81387,0.64692,0.43354,1.00883,0.000707498,0.000707498,0.000707498
53,1837.56,0.70675,0.49591,1.09073,0.92975,0.89252,0.93402,0.80079,0.64313,0.43579,1.00559,0.000693351,0.000693351,0.000693351
54,1870.1,0.70158,0.50914,1.08603,0.92254,0.90262,0.93557,0.80329,0.68424,0.42808,1.03415,0.000679204,0.000679204,0.000679204
55,1903.64,0.69075,0.49943,1.08047,0.89891,0.91494,0.9408,0.80708,0.62812,0.41953,1.00878,0.000665057,0.000665057,0.000665057
56,1936.54,0.6959,0.49451,1.0819,0.92463,0.89412,0.93185,0.80172,0.68294,0.45499,1.04853,0.000650909,0.000650909,0.000650909
57,1970.09,0.7014,0.4915,1.08875,0.90758,0.89994,0.93473,0.80574,0.63251,0.43365,1.00647,0.000636762,0.000636762,0.000636762
58,2004.96,0.68734,0.48125,1.0789,0.93742,0.86619,0.93348,0.80775,0.69488,0.45545,1.03359,0.000622615,0.000622615,0.000622615
59,2039.29,0.67537,0.47872,1.07425,0.94604,0.8702,0.93615,0.81598,0.66631,0.42523,1.01763,0.000608468,0.000608468,0.000608468
60,2072.31,0.67545,0.47083,1.07073,0.90906,0.90003,0.93222,0.81473,0.62532,0.42775,0.9997,0.000594321,0.000594321,0.000594321
61,2104.77,0.68038,0.47699,1.07564,0.92811,0.88662,0.94109,0.81445,0.64231,0.41259,1.00102,0.000580174,0.000580174,0.000580174
62,2137.5,0.68671,0.48899,1.08565,0.94583,0.88801,0.94037,0.81277,0.65037,0.43393,1.01552,0.000566027,0.000566027,0.000566027
63,2169.74,0.68104,0.49064,1.08218,0.91086,0.91713,0.93678,0.81492,0.65466,0.46107,1.0124,0.00055188,0.00055188,0.00055188
64,2201.51,0.67388,0.47113,1.07456,0.90985,0.9025,0.93189,0.80599,0.69242,0.45569,1.05451,0.000537733,0.000537733,0.000537733
65,2233.81,0.66462,0.47967,1.07453,0.92883,0.90269,0.94502,0.81135,0.69316,0.45003,1.05833,0.000523586,0.000523586,0.000523586
66,2266.42,0.66815,0.46657,1.07225,0.93161,0.90614,0.9435,0.81196,0.64576,0.4328,1.01341,0.000509438,0.000509438,0.000509438
67,2299.87,0.6708,0.47491,1.07277,0.93899,0.88699,0.93385,0.81399,0.60278,0.43132,0.99366,0.000495291,0.000495291,0.000495291
68,2333.52,0.66825,0.46526,1.07278,0.94466,0.87435,0.93158,0.81207,0.62273,0.42536,1.00418,0.000481144,0.000481144,0.000481144
69,2366.96,0.67025,0.46993,1.07007,0.94459,0.88456,0.93532,0.807,0.65846,0.45492,1.02987,0.000466997,0.000466997,0.000466997
70,2400.41,0.66022,0.45489,1.06519,0.91752,0.90142,0.93433,0.80629,0.61776,0.44197,1.00133,0.00045285,0.00045285,0.00045285
71,2433.65,0.65654,0.46591,1.06839,0.94171,0.89702,0.9319,0.81548,0.61649,0.41152,1.00227,0.000438703,0.000438703,0.000438703
72,2466.62,0.65379,0.45083,1.06353,0.94432,0.88908,0.93068,0.81158,0.60913,0.42927,0.99675,0.000424556,0.000424556,0.000424556
73,2499.76,0.64227,0.44805,1.05672,0.91109,0.90885,0.93521,0.81564,0.60088,0.42245,0.99608,0.000410409,0.000410409,0.000410409
74,2532.73,0.65258,0.45964,1.06568,0.92182,0.89713,0.94107,0.81892,0.58098,0.40663,0.98792,0.000396262,0.000396262,0.000396262
75,2566.26,0.65135,0.45223,1.06793,0.91594,0.89736,0.93491,0.82091,0.66168,0.44201,1.02305,0.000382115,0.000382115,0.000382115
76,2602.81,0.63993,0.44009,1.06195,0.91194,0.9164,0.93882,0.81494,0.65345,0.42632,1.02574,0.000367967,0.000367967,0.000367967
77,2636.49,0.62835,0.43923,1.05361,0.9359,0.88641,0.93445,0.81244,0.63606,0.43437,1.02001,0.00035382,0.00035382,0.00035382
78,2669.38,0.64498,0.44753,1.06326,0.93615,0.89241,0.93751,0.81135,0.66083,0.43057,1.04116,0.000339673,0.000339673,0.000339673
79,2702.94,0.63473,0.42941,1.05707,0.92687,0.90003,0.93467,0.81698,0.59758,0.40538,0.9972,0.000325526,0.000325526,0.000325526
80,2737.87,0.63632,0.4394,1.05634,0.94228,0.88672,0.93313,0.81253,0.57259,0.42427,0.98265,0.000311379,0.000311379,0.000311379
